item_id,cold_ms,warm1_ms,warm2_ms,bytes
73f29daafb4fa3fb2791b195b1c35884,5185.3,27.7,17.5,155719
84f8b305278f74e6d9ec8f2cc624bfc2,4322.7,16.6,15.0,163748
3c034c2e297b78bd7de9b0a9d2c4439f,39.1,13.8,12.9,44687
0aba93e97cb641b25ccd76e637bbde7e,4710.6,16.5,16.1,181467
4c6e43d76dc665c85474a494d33b6198,4224.8,14.3,13.2,54354
9430998c527223a273a3bdf667741d55,4711.5,17.8,15.8,130922
f9469267d3a9b451e2e35ab78b197b1c,4480.0,16.9,14.7,237944
9d1beb994310cd59e324dc43eea16be3,4541.8,17.9,14.5,204634
312463b00483767fa24fb45fdbbc49e2,73.8,36.2,38.7,73206
b05497715a3242fcc3f64665bfdfb7fa,4564.8,16.8,15.6,112309
a18869cae4264e8e7a3024ca2fe4a378,4559.3,16.4,12.3,58410
ea575f3f311f3bf32b2101ede544d4f3,4441.1,15.3,13.7,110922
f010fae9f8620587ede6977997bf69df,4457.5,14.0,13.2,109952
54172c4dfc0aef099b78f6af9878815b,4592.3,17.4,15.8,229576
33dc0130009cb96c86aeec4710bf0517,4601.5,17.7,15.3,172155
24898301132149537d42dd6485308581,4275.4,15.6,13.0,126441
4c943ef85fb4ddc9608c3a48baf5f2cf,4176.8,13.6,12.9,185232
5446128784acf163503da2c499c84ac2,4665.3,17.4,17.8,160578
24a94ec9913a08dbcd0f03340f8fed04,4635.0,16.1,15.9,152865
dad118e837954d4930643d894301f736,6010.5,16.5,15.0,198225
