item_id,cold_ms,warm1_ms,warm2_ms,bytes
73f29daafb4fa3fb2791b195b1c35884,617.2,30.0,17.1,142514
84f8b305278f74e6d9ec8f2cc624bfc2,90.7,16.6,17.4,161635
3c034c2e297b78bd7de9b0a9d2c4439f,26.0,13.5,13.2,44687
0aba93e97cb641b25ccd76e637bbde7e,263.6,16.5,16.6,170254
4c6e43d76dc665c85474a494d33b6198,68.5,15.4,16.5,53942
9430998c527223a273a3bdf667741d55,238.9,14.6,25.8,128463
f9469267d3a9b451e2e35ab78b197b1c,123.3,17.1,16.4,224640
9d1beb994310cd59e324dc43eea16be3,155.3,14.7,15.5,197137
312463b00483767fa24fb45fdbbc49e2,33.4,14.3,14.7,73206
b05497715a3242fcc3f64665bfdfb7fa,203.7,15.4,16.2,115652
a18869cae4264e8e7a3024ca2fe4a378,190.4,12.7,19.6,61338
ea575f3f311f3bf32b2101ede544d4f3,97.0,14.5,13.8,103386
f010fae9f8620587ede6977997bf69df,110.4,14.8,13.4,105649
54172c4dfc0aef099b78f6af9878815b,162.8,16.2,15.2,218827
33dc0130009cb96c86aeec4710bf0517,181.8,15.4,15.2,169924
24898301132149537d42dd6485308581,68.8,16.6,14.3,124038
4c943ef85fb4ddc9608c3a48baf5f2cf,72.2,14.8,17.2,177598
5446128784acf163503da2c499c84ac2,220.1,15.5,15.4,159078
24a94ec9913a08dbcd0f03340f8fed04,150.2,14.2,15.9,150580
dad118e837954d4930643d894301f736,283.5,15.6,14.2,184618
