item_id,cold_ms,warm1_ms,warm2_ms,bytes
73f29daafb4fa3fb2791b195b1c35884,1220.5,108.8,19.6,155271
84f8b305278f74e6d9ec8f2cc624bfc2,366.2,16.6,18.1,162561
3c034c2e297b78bd7de9b0a9d2c4439f,25.5,12.6,12.8,44687
0aba93e97cb641b25ccd76e637bbde7e,837.5,19.5,18.4,180822
4c6e43d76dc665c85474a494d33b6198,339.2,15.3,15.7,51910
9430998c527223a273a3bdf667741d55,915.6,24.6,18.6,130370
f9469267d3a9b451e2e35ab78b197b1c,645.7,17.1,15.9,237327
9d1beb994310cd59e324dc43eea16be3,651.0,16.2,15.7,204492
312463b00483767fa24fb45fdbbc49e2,69.8,38.4,39.3,73206
b05497715a3242fcc3f64665bfdfb7fa,772.5,17.6,16.6,112309
a18869cae4264e8e7a3024ca2fe4a378,681.5,14.7,92.2,58268
ea575f3f311f3bf32b2101ede544d4f3,547.9,16.7,13.7,110844
f010fae9f8620587ede6977997bf69df,579.5,106.3,13.6,109876
54172c4dfc0aef099b78f6af9878815b,696.2,17.3,15.2,229452
33dc0130009cb96c86aeec4710bf0517,702.7,15.0,16.4,170438
24898301132149537d42dd6485308581,417.8,14.0,12.8,124477
4c943ef85fb4ddc9608c3a48baf5f2cf,540.4,16.0,16.5,184182
5446128784acf163503da2c499c84ac2,744.6,73.8,14.5,160244
24a94ec9913a08dbcd0f03340f8fed04,658.6,16.3,15.9,152430
dad118e837954d4930643d894301f736,836.3,14.3,14.8,196995
